,budget,country,cum_ww_gross,director,genre_1,genre_2,genre_3,language,mpaa_rating,ratings_count,release_date,runtime,title,url,usa_gross,user_rating
5460,15000000,USA,,Nicholas Hytner,Comedy,Drama,Romance,English,R,17159,1998-04-17,111.0,The Object of My Affection,https://www.imdb.com/title/tt0120772,29106737.0,6.0
5461,,USA,,Andrew Fleming,Comedy,Romance,Drama,English,R,11730,1994-04-08,89.0,Threesome,https://www.imdb.com/title/tt0111418,14815000.0,6.2
5462,17000000,USA,,John Fortenberry,Comedy,Music,Romance,English,PG-13,52188,1998-10-02,82.0,A Night at the Roxbury,https://www.imdb.com/title/tt0120770,30324946.0,6.2
5463,47000000,USA,,Steven Soderbergh,Drama,Mystery,Romance,English,PG-13,73408,2002-11-27,99.0,Solaris,https://www.imdb.com/title/tt0307479,14970038.0,6.2
5464,500000,USA,,Lucky McKee,Drama,Horror,,English,R,29960,2003-04-11,93.0,May,https://www.imdb.com/title/tt0303361,150277.0,6.7
5465,50000000,USA,71992655,Robert Rodriguez,Action,Adventure,Comedy,English,PG,24985,2005-06-10,93.0,The Adventures of Sharkboy and Lavagirl 3-D,https://www.imdb.com/title/tt0424774,39177684.0,3.5
5466,39000000,USA,,Scott Cooper,Action,Adventure,Drama,English,R,40186,2018-01-26,134.0,Hostiles,https://www.imdb.com/title/tt5478478,29819114.0,7.2
5467,,USA,,Gene Saks,Comedy,Romance,,English,G,14313,1967-05-25,106.0,Barefoot in the Park,https://www.imdb.com/title/tt0061385,19994515.0,7.0
5468,26000000,USA,183293131,Steve Carr,Action,Comedy,Crime,English,PG,92945,2009-01-16,91.0,Paul Blart: Mall Cop,https://www.imdb.com/title/tt1114740,20819129.0,5.2
5469,29000000,USA,,Tony Scott,Action,Comedy,Crime,English,R,83935,1991-12-13,105.0,The Last Boy Scout,https://www.imdb.com/title/tt0102266,59509925.0,7.0
5470,185000000,USA,343471816,Justin Lin,Action,Adventure,Sci-Fi,English,PG-13,200328,2016-07-22,122.0,Star Trek: Beyond,https://www.imdb.com/title/tt2660888,158848340.0,7.1
5471,3101000,USA,22213000,Alfred Hitchcock,Adventure,Mystery,Thriller,English,Not Rated,260601,1959-09-26,136.0,North by Northwest,https://www.imdb.com/title/tt0053125,13275000.0,8.3
5472,,USA,,Fritz Lang,Crime,Film-Noir,Thriller,English,Not Rated,19648,1953-10-01,89.0,The Big Heat,https://www.imdb.com/title/tt0045555,2725000.0,8.0
5473,1500000,USA,,Adam Green,Comedy,Horror,,English,R,25905,2010-04-02,84.0,Hatchet,https://www.imdb.com/title/tt0422401,155873.0,5.7
5474,5000000,USA,,David Wain,Comedy,Romance,,English,R,48167,2002-04-11,97.0,Wet Hot American Summer,https://www.imdb.com/title/tt0243655,292102.0,6.7
5475,25000000,South Africa,,Phillip Noyce,Drama,Romance,Sci-Fi,English,PG-13,101970,2014-08-15,97.0,The Giver,https://www.imdb.com/title/tt0435651,45089048.0,6.5
