title,budget,cum_ww_gross,ratings_count,runtime,usa_gross,user_rating,year,Australia,Canada,China,France,Germany,Hong Kong,Japan,Spain,UK,USA,other_country,G,NC-17,Not Rated,PG,PG-13,R,Antoine Fuqua,Brett Ratner,Chris Columbus,Clint Eastwood,David Fincher,Gore Verbinski,Ivan Reitman,Joel Schumacher,M. Night Shyamalan,Michael Bay,Paul W.S. Anderson,Ridley Scott,Robert Zemeckis,Roland Emmerich,Ron Howard,Steven Soderbergh,Steven Spielberg,Tim Burton,Tony Scott,other_director,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,proportion
A Bug's Life,120000000.0,363398565.0,239686.0,95.0,162798565.0,7.2,1998,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4479890144860644
A Christmas Carol,200000000.0,325286646.0,86809.0,96.0,137855863.0,6.8,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4237981014443489
A Cinderella Story,20000000.0,70164105.0,72270.0,95.0,51438175.0,5.9,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7331123941508269
A Cure for Wellness,40000000.0,26559557.0,64541.0,146.0,8106986.0,6.4,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.3052379977572668
A Dog's Purpose,22000000.0,204361517.0,47471.0,100.0,64508620.0,7.0,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3156593322802551
A Few Good Men,40000000.0,243240178.0,207414.0,138.0,141340178.0,7.7,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5810724986395956
A Good Day to Die Hard,92000000.0,304654182.0,183226.0,98.0,67349198.0,5.3,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22106769569964413
A Haunted House,2500000.0,60141683.0,39062.0,86.0,40041683.0,5.1,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6657891998133807
A Haunted House 2,4000000.0,25340200.0,17347.0,86.0,17329486.0,4.7,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6838732922392089
A Home at the End of the World,6500000.0,1548955.0,12682.0,97.0,1029872.0,6.7,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6648818074120939
A Knight's Tale,65000000.0,117487473.0,152884.0,132.0,56569702.0,6.9,2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4814956059187689
A League of Their Own,40000000.0,132440069.0,81217.0,128.0,107533928.0,7.2,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8119440650548135
A Life Less Ordinary,12000000.0,4700000.0,32373.0,103.0,4266243.0,6.4,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9077112765957447
A Man Apart,36000000.0,44350926.0,41545.0,109.0,26183197.0,6.1,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5903641560945087
A Mighty Heart,16000000.0,16686371.0,25481.0,108.0,9176787.0,6.7,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5499570278043081
A Million Ways to Die in the West,40000000.0,86408083.0,155560.0,116.0,43139300.0,6.1,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49925074717836293
A Monster Calls,43000000.0,40919166.0,65053.0,108.0,3730982.0,7.5,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09117932657767268
A Most Wanted Man,15000000.0,31554855.0,65864.0,122.0,17237244.0,6.8,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.546262817560087
A Nightmare on Elm Street,35000000.0,115664037.0,83204.0,95.0,63075011.0,5.2,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54532949597808
A Nightmare on Elm Street,35000000.0,115664037.0,83204.0,95.0,63075011.0,5.2,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54532949597808
A Perfect Murder,60000000.0,128038368.0,71204.0,107.0,67638368.0,6.5,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5282664021459568
A Perfect World,30000000.0,135200000.0,65227.0,138.0,31160784.0,7.5,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.23047917159763315
A Quiet Place,17000000.0,332583447.0,215204.0,90.0,188024361.0,7.7,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5653449162790113
A Scanner Darkly,8700000.0,7659918.0,97930.0,100.0,5501616.0,7.1,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7182343205240578
A Series of Unfortunate Events,140000000.0,209073645.0,179891.0,108.0,118627117.0,6.8,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5673939295409519
A Sound of Thunder,80000000.0,5989640.0,17778.0,102.0,1891821.0,4.2,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3158488657081227
A Time to Kill,40000000.0,152266007.0,115116.0,149.0,108766007.0,7.4,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7143157500675774
A United Kingdom,14000000.0,13819139.0,11079.0,111.0,3901302.0,6.8,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2823115101454584
A View to a Kill,30000000.0,152627960.0,77493.0,131.0,50327960.0,6.3,1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.32974272865862847
A Wrinkle in Time,100000000.0,132675864.0,26347.0,109.0,100478608.0,4.2,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7573239394921144
AVP: Alien vs. Predator,60000000.0,172544654.0,167097.0,101.0,80282231.0,5.6,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.46528379256537267
AVPR: Aliens vs Predator - Requiem,40000000.0,128884494.0,105507.0,94.0,41797066.0,4.7,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.3242986390589391
Abduction,35000000.0,86648359.0,70686.0,106.0,28087155.0,5.1,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.32415103210437024
About Schmidt,30000000.0,105834556.0,115301.0,125.0,65016287.0,7.2,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6143200241705554
About Time,12000000.0,87100449.0,247463.0,123.0,15322921.0,7.8,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.17592241114623874
